School type,Gender,Number of classes daily,Location of school,Remedial classes,Number of peer teachers,Library ,School level,Average KCSE Score,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,75.04,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,66.69,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,75.08,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,72.1,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,70.33,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,69.8,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,60.92,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,59.78,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,59.66,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,77.12,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,66.79,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,64.4,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,73.8,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,68.29,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,40.79,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,44.98,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,74.8,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,81.04,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,75.56,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,70.31,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,74.6,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,81.19,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,77.7,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,76.6,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,79.23,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,73.07,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,72.09,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,74.91,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,73.6,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,80.23,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,78.4,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,75.31,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,74.91,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,60.4,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,56.89,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,73.11,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,60.43,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,80.47,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,61,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,60.08,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,77.11,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,62.77,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,63.45,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,64.61,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,64.87,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,73.21,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,76.97,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,45.66,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,64.62,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,75.4,,,,
single-Gender,Male,14,Mwatate,yes,31,Yes,National,54.22,,,,
